2-Theta,Intensity
27.65,24.91
27.7,33.97
27.75,36.38
27.8,23.52
27.85,35.67
27.9,29.86
27.95,30.23
28.0,26.57
28.05,26.98
28.1,31.94
28.15,26.06
28.2,31.5
28.25,35.2
28.3,38.55
28.35,35.58
28.4,31.9
28.45,35.28
28.5,27.51
28.55,36.18
28.6,38.46
28.65,42.52
28.7,39.24
28.75,36.19
28.8,45.73
28.85,39.35
28.9,44.16
28.95,36.35
29.0,36.58
29.05,47.33
29.1,47.02
29.15,41.11
29.2,39.66
29.25,42.4
29.3,34.29
29.35,31.73
29.4,28.76
29.45,42.05
29.5,38.82
29.55,31.4
29.6,35.27
29.65,45.06
29.7,35.89
29.75,39.27
29.8,44.29
29.85,53.22
29.9,47.37
29.95,39.98
30.0,41.43
30.05,41.52
30.1,43.28
30.15,49.62
30.2,51.24
30.25,52.39
30.3,42.66
30.35,53.1
30.4,50.48
30.45,48.11
30.5,47.03
30.55,53.01
30.6,58.95
30.65,51.14
30.7,47.48
30.75,43.97
30.8,58.97
30.85,51.36
30.9,55.3
30.95,42.06
31.0,49.75
31.05,53.97
31.1,46.25
31.15,54.54
31.2,58.73
31.25,54.78
31.3,56.63
31.35,57.52
31.4,46.91
31.45,48.51
31.5,50.08
31.55,49.12
31.6,45.09
31.65,45.51
31.7,43.63
31.75,42.63
31.8,46.96
31.85,49.0
31.9,42.68
31.95,37.88
32.0,43.09
32.05,43.87
32.1,46.59
32.15,49.95
32.2,45.75
32.25,42.03
32.3,40.86
32.35,46.59
32.4,44.14
32.45,48.55
32.5,48.73
32.55,48.98
32.6,49.31
32.65,42.54
32.7,52.3
32.75,41.84
32.8,50.02
32.85,48.87
32.9,53.38
32.95,51.7
33.0,43.18
33.05,51.68
33.1,49.39
33.15,48.84
33.2,44.81
33.25,44.86
33.3,61.01
33.35,51.51
33.4,50.81
33.45,57.42
33.5,44.14
33.55,42.95
33.6,41.68
33.65,35.32
33.7,42.35
33.75,51.47
33.8,46.98
33.85,41.82
33.9,49.62
33.95,41.92
34.0,47.9
34.05,44.45
34.1,45.07
34.15,40.96
34.2,41.97
34.25,43.17
34.3,40.6
34.35,43.86
34.4,48.19
34.45,54.27
34.5,48.91
34.55,54.43
34.6,38.45
34.65,46.18
34.7,43.91
34.75,36.25
34.8,48.78
34.85,40.79
34.9,49.12
34.95,50.73
35.0,48.62
35.05,37.91
35.1,34.48
35.15,48.15
35.2,44.42
35.25,44.66
35.3,51.41
35.35,52.37
35.4,52.96
35.45,43.16
35.5,38.38
35.55,37.15
35.6,46.18
35.65,43.54
35.7,39.47
35.75,46.04
35.8,39.64
35.85,35.04
35.9,39.73
35.95,31.79
36.0,41.11
36.05,33.71
36.1,38.53
36.15,32.95
36.2,36.77
36.25,36.03
36.3,38.97
36.35,38.19
36.4,43.92
36.45,44.23
36.5,43.27
36.55,50.1
36.6,48.21
36.65,35.89
36.7,46.62
36.75,30.35
36.8,40.44
36.85,45.2
36.9,34.92
36.95,35.84
37.0,50.13
37.05,40.37
37.1,40.94
37.15,48.83
37.2,35.52
37.25,42.27
37.3,46.32
37.35,44.36
37.4,42.91
37.45,35.75
37.5,42.25
37.55,37.59
37.6,40.14
37.65,36.85
37.7,31.96
37.75,42.89
37.8,36.56
37.85,44.64
37.9,33.8
37.95,40.66
38.0,34.88
38.05,32.91
38.1,31.32
38.15,29.1
38.2,31.92
38.25,26.04
38.3,26.44
38.35,28.09
38.4,33.88
38.45,19.29
38.5,24.95
38.55,28.01
38.6,25.01
38.65,23.65
38.7,15.03
38.75,27.58
38.8,17.17
38.85,26.65
38.9,27.19
38.95,19.56
39.0,26.87
39.05,16.35
39.1,28.29
39.15,22.47
39.2,15.45
39.25,27.13
39.3,27.03
39.35,25.55
39.4,27.43
39.45,19.25
39.5,16.57
39.55,13.75
39.6,27.33
39.65,18.76
39.7,18.73
39.75,20.62
39.8,37.55
39.85,36.49
39.9,48.97
39.95,59.06
40.0,65.79
40.05,87.98
40.1,117.32
40.15,145.09
40.2,187.12
40.25,210.87
40.3,259.61
40.35,318.2
40.4,383.78
40.45,448.61
40.5,517.4
40.55,582.1
40.6,669.04
40.65,732.22
40.7,804.36
40.75,867.39
40.8,923.02
40.85,975.07
40.9,1007.19
40.95,1018.74
41.0,1023.08
41.05,1008.32
41.1,978.32
41.15,936.14
41.2,881.78
41.25,822.66
41.3,746.74
41.35,674.4
41.4,596.02
41.45,520.11
41.5,446.92
41.55,394.54
41.6,330.13
41.65,264.01
41.7,218.85
41.75,176.74
41.8,143.92
41.85,120.56
41.9,100.65
41.95,77.88
42.0,66.01
42.05,61.42
42.1,46.38
42.15,44.87
42.2,32.83
42.25,22.83
42.3,18.96
42.35,18.17
42.4,19.41
42.45,18.84
42.5,24.6
42.55,29.06
42.6,29.93
42.65,20.12
42.7,29.7
42.75,27.7
42.8,28.78
42.85,31.24
42.9,21.9
42.95,28.06
43.0,22.46
43.05,31.33
43.1,29.51
43.15,32.24
43.2,27.71
43.25,35.81
43.3,30.39
43.35,27.05
43.4,36.22
43.45,31.91
43.5,24.78
43.55,38.01
43.6,28.07
43.65,36.17
43.7,21.62
43.75,26.14
43.8,30.02
43.85,25.07
43.9,24.29
43.95,27.11
44.0,27.12
44.05,22.84
44.1,19.84
44.15,24.36
44.2,16.26
44.25,18.3
44.3,16.18
44.35,11.44
44.4,20.15
44.45,24.74
44.5,14.82
44.55,20.82
44.6,24.2
44.65,31.85
44.7,35.11
44.75,22.24
44.8,25.41
44.85,25.96
44.9,21.59
44.95,31.32
45.0,24.58
45.05,23.1
45.1,20.12
45.15,28.49
45.2,35.48
45.25,20.23
45.3,32.2
45.35,32.77
45.4,32.61
45.45,28.72
45.5,22.11
45.55,16.56
45.6,18.65
45.65,22.28
45.7,29.49
45.75,32.98
45.8,26.79
45.85,22.3
45.9,30.07
45.95,29.13
46.0,26.94
46.05,24.5
46.1,25.93
46.15,25.74
46.2,26.83
46.25,20.94
46.3,20.9
46.35,29.27
46.4,26.62
46.45,30.21
46.5,26.69
46.55,29.37
46.6,31.37
46.65,23.9
46.7,40.18
46.75,45.84
46.8,49.44
46.85,54.54
46.9,58.31
46.95,65.17
47.0,84.18
47.05,93.61
47.1,116.19
47.15,143.38
47.2,179.91
47.25,220.29
47.3,254.41
47.35,310.35
47.4,362.84
47.45,423.42
47.5,488.65
47.55,557.81
47.6,627.79
47.65,701.07
47.7,762.06
47.75,824.25
47.8,877.74
47.85,924.7
47.9,946.08
47.95,968.95
48.0,975.15
48.05,956.33
48.1,934.48
48.15,901.15
48.2,852.37
48.25,779.85
48.3,725.53
48.35,646.24
48.4,580.98
48.45,513.55
48.5,435.49
48.55,382.24
48.6,313.17
48.65,262.04
48.7,227.29
48.75,189.46
48.8,147.54
48.85,127.96
48.9,103.04
48.95,82.55
49.0,68.82
49.05,54.29
49.1,40.49
49.15,47.14
49.2,44.54
49.25,38.82
49.3,30.26
49.35,27.99
49.4,35.37
49.45,33.1
49.5,38.38
49.55,32.92
49.6,35.0
49.65,34.16
49.7,32.87
49.75,26.6
49.8,30.2
49.85,32.01
49.9,30.11
49.95,34.39
50.0,28.45
50.05,21.53
50.1,20.82
50.15,22.83
50.2,23.61
50.25,23.24
50.3,28.5
50.35,27.81
50.4,23.02
50.45,27.13
50.5,20.74
50.55,22.59
50.6,26.29
50.65,33.4
50.7,29.87
50.75,25.3
50.8,23.53
50.85,24.42
50.9,30.72
50.95,28.51
51.0,33.11
51.05,29.91
51.1,20.0
51.15,28.84
51.2,23.25
51.25,28.73
51.3,20.11
51.35,28.22
51.4,19.78
51.45,16.99
51.5,25.33
51.55,29.79
51.6,24.83
51.65,20.16
51.7,26.24
51.75,28.49
51.8,31.53
51.85,26.01
51.9,31.61
51.95,25.3
52.0,30.93
52.05,37.36
52.1,32.19
52.15,31.83
52.2,26.65
52.25,29.25
52.3,29.51
52.35,30.7
52.4,37.14
52.45,41.25
52.5,41.09
52.55,40.17
52.6,32.82
52.65,34.38
52.7,28.39
52.75,25.49
52.8,35.96
52.85,29.31
52.9,37.52
52.95,38.44
53.0,38.22
53.05,29.11
53.1,30.26
53.15,34.82
53.2,42.01
53.25,44.09
53.3,38.84
53.35,30.24
53.4,38.93
53.45,40.09
53.5,36.11
53.55,33.8
53.6,36.26
53.65,28.61
53.7,35.42
53.75,27.58
53.8,27.89
53.85,35.96
53.9,29.14
53.95,31.1
54.0,27.86
54.05,30.02
54.1,33.99
54.15,28.75
54.2,36.6
54.25,37.51
54.3,37.33
54.35,31.81
54.4,28.47
54.45,23.95
54.5,33.95
54.55,34.04
54.6,19.91
54.65,32.27
54.7,22.21
54.75,28.95
54.8,29.87
54.85,26.99
54.9,19.58
54.95,17.93
55.0,31.58
55.05,31.14
55.1,26.68
55.15,28.98
55.2,18.55
55.25,22.47
55.3,17.58
55.35,20.42
55.4,18.24
55.45,14.47
55.5,18.27
55.55,17.83
55.6,15.39
55.65,24.74
55.7,11.68
55.75,10.85
55.8,17.5
55.85,15.44
55.9,24.62
55.95,24.08
56.0,17.69
56.05,13.8
56.1,20.31
56.15,23.89
56.2,23.59
56.25,18.22
56.3,22.44
56.35,15.27
56.4,17.54
56.45,18.97
56.5,24.02
56.55,31.09
56.6,28.72
56.65,25.29
56.7,32.44
56.75,25.11
56.8,27.78
56.85,39.23
56.9,31.97
56.95,37.3
57.0,36.33
57.05,42.42
57.1,46.6
57.15,37.29
57.2,43.09
57.25,36.36
57.3,27.55
57.35,41.38
57.4,44.79
57.45,32.06
57.5,33.64
57.55,40.04
57.6,33.6
57.65,39.54
57.7,42.57
57.75,41.75
57.8,45.11
57.85,38.68
57.9,37.36
57.95,47.9
58.0,45.08
58.05,45.4
58.1,48.63
58.15,48.78
58.2,40.95
58.25,49.48
58.3,46.82
58.35,37.39
58.4,40.69
58.45,41.36
58.5,46.23
58.55,42.02
58.6,44.21
58.65,41.47
58.7,36.96
58.75,45.5
58.8,50.56
58.85,49.74
58.9,48.77
58.95,35.84
59.0,34.95
59.05,38.1
59.1,47.11
59.15,46.6
59.2,48.49
59.25,38.41
59.3,38.66
59.35,36.92
59.4,39.28
59.45,38.85
59.5,37.87
59.55,36.17
59.6,43.53
59.65,47.84
59.7,44.88
59.75,48.33
59.8,44.68
59.85,43.12
59.9,39.99
59.95,35.18
60.0,41.62
60.05,41.17
60.1,50.64
60.15,41.11
60.2,51.47
60.25,52.6
60.3,47.29
60.35,47.26
60.4,44.53
60.45,54.3
60.5,53.58
60.55,41.56
60.6,55.54
60.65,43.3
60.7,47.96
60.75,45.05
60.8,47.6
60.85,54.1
60.9,53.41
60.95,41.62
61.0,54.99
61.05,42.83
61.1,54.34
61.15,44.08
61.2,46.94
61.25,40.5
61.3,52.79
61.35,48.14
61.4,51.9
61.45,40.73
61.5,49.5
61.55,41.75
61.6,45.18
61.65,48.6
61.7,45.44
61.75,42.49
61.8,36.59
61.85,40.64
61.9,50.89
61.95,42.05
62.0,43.76
62.05,44.67
62.1,52.29
62.15,39.61
62.2,40.17
62.25,43.06
62.3,50.8
62.35,48.5
62.4,42.39
62.45,56.57
62.5,56.26
62.55,55.02
62.6,50.81
62.65,48.69
62.7,53.99
62.75,47.52
62.8,58.1
62.85,48.57
62.9,53.7
62.95,50.53
63.0,47.99
63.05,47.39
63.1,43.88
63.15,54.04
63.2,48.93
63.25,44.36
63.3,38.21
63.35,48.08
63.4,48.07
63.45,50.08
63.5,37.29
63.55,49.96
63.6,42.53
63.65,38.79
63.7,39.25
63.75,51.19
63.8,47.77
63.85,43.12
63.9,44.07
63.95,55.28
64.0,48.06
64.05,49.6
64.1,43.21
64.15,49.28
64.2,42.74
64.25,39.1
64.3,49.16
64.35,51.46
64.4,38.24
64.45,45.26
64.5,42.33
64.55,35.87
64.6,41.81
64.65,39.33
64.7,51.79
64.75,47.75
64.8,43.59
64.85,52.31
64.9,42.99
64.95,56.67
65.0,44.96
65.05,48.4
65.1,44.25
65.15,53.19
65.2,50.99
65.25,51.32
65.3,40.83
65.35,44.26
65.4,52.69
65.45,53.82
65.5,59.57
65.55,54.27
65.6,46.31
65.65,47.06
65.7,46.57
65.75,53.85
65.8,56.31
65.85,45.19
65.9,50.68
65.95,49.45
66.0,47.55
66.05,35.65
66.1,37.55
66.15,38.1
66.2,34.87
66.25,38.43
66.3,42.92
66.35,38.2
66.4,36.16
66.45,47.24
66.5,30.69
66.55,33.3
66.6,42.07
66.65,41.45
66.7,37.05
66.75,45.2
66.8,35.08
66.85,39.15
66.9,30.46
66.95,39.41
67.0,43.87
67.05,36.64
67.1,42.18
67.15,48.65
67.2,43.95
67.25,38.32
67.3,42.3
67.35,40.03
67.4,36.13
67.45,43.61
67.5,36.09
67.55,34.43
67.6,40.61
67.65,37.88
67.7,32.93
67.75,40.32
67.8,43.88
67.85,38.24
67.9,47.94
67.95,44.36
68.0,45.88
68.05,50.06
68.1,48.25
68.15,52.84
68.2,48.62
68.25,54.3
68.3,45.22
68.35,45.23
68.4,42.72
68.45,41.15
68.5,50.51
68.55,42.45
68.6,54.38
68.65,53.17
68.7,58.07
68.75,54.72
68.8,49.27
68.85,59.74
68.9,59.79
68.95,53.62
69.0,49.99
69.05,52.56
69.1,51.31
69.15,49.21
69.2,54.51
69.25,62.99
69.3,66.56
69.35,58.35
69.4,52.52
69.45,54.97
69.5,56.48
69.55,61.55
69.6,59.39
69.65,52.36
69.7,57.85
69.75,52.71
69.8,62.06
69.85,57.44
69.9,55.67
69.95,52.33
70.0,58.69
70.05,58.65
70.1,51.9
70.15,54.94
70.2,58.91
70.25,57.81
70.3,48.27
70.35,57.86
70.4,46.33
70.45,51.93
70.5,48.0
70.55,46.79
70.6,43.39
70.65,45.13
70.7,35.53
70.75,43.2
70.8,40.07
70.85,52.45
70.9,49.3
70.95,36.52
71.0,40.7
71.05,40.13
71.1,39.15
71.15,41.55
71.2,39.27
71.25,50.26
71.3,37.19
71.35,40.77
71.4,46.99
71.45,40.91
71.5,49.2
71.55,43.47
71.6,44.82
71.65,43.31
71.7,45.42
71.75,56.16
71.8,52.05
71.85,48.27
71.9,58.18
71.95,58.14
72.0,57.7
72.05,49.84
72.1,56.37
72.15,53.73
72.2,54.67
72.25,44.62
72.3,47.43
72.35,52.61
72.4,48.32
72.45,46.25
72.5,51.66
72.55,47.42
72.6,47.3
72.65,40.7
72.7,48.32
72.75,54.67
72.8,48.16
72.85,48.26
72.9,59.76
72.95,47.66
73.0,51.82
73.05,60.43
73.1,59.18
73.15,59.26
73.2,57.74
73.25,51.7
73.3,45.46
73.35,36.63
73.4,49.16
73.45,42.94
73.5,49.66
73.55,42.86
73.6,46.24
73.65,33.17
73.7,37.13
73.75,33.88
73.8,40.09
73.85,42.08
73.9,41.51
73.95,42.5
74.0,42.24
74.05,45.45
74.1,48.41
74.15,51.38
74.2,40.57
74.25,38.41
74.3,39.41
74.35,52.68
74.4,51.25
74.45,45.41
74.5,48.11
74.55,53.09
74.6,44.65
74.65,40.24
74.7,43.23
74.75,42.67
74.8,41.29
74.85,33.36
74.9,44.18
74.95,37.01
75.0,47.11
75.05,39.64
75.1,35.16
75.15,46.54
75.2,46.33
75.25,44.12
75.3,43.1
75.35,45.67
75.4,46.12
75.45,38.95
75.5,51.49
75.55,51.59
75.6,55.02
75.65,44.3
75.7,51.64
75.75,48.15
75.8,52.85
75.85,47.14
75.9,45.14
75.95,43.26
76.0,47.75
76.05,47.38
76.1,41.21
76.15,40.26
76.2,49.99
76.25,43.53
76.3,46.15
76.35,38.72
76.4,43.88
76.45,45.32
76.5,47.47
76.55,44.68
76.6,44.06
76.65,47.5
76.7,43.32
76.75,50.02
76.8,53.6
76.85,51.41
76.9,43.98
76.95,44.91
77.0,51.99
77.05,39.51
77.1,46.82
77.15,49.73
77.2,42.55
77.25,46.61
77.3,37.56
77.35,38.59
77.4,34.94
77.45,42.38
77.5,37.26
77.55,45.05
77.6,32.74
77.65,44.54
77.7,38.58
77.75,45.18
77.8,35.34
77.85,42.43
77.9,37.44
77.95,37.84
78.0,44.71
78.05,33.65
78.1,36.26
78.15,33.33
78.2,27.72
78.25,26.59
78.3,34.95
78.35,27.92
78.4,38.0
78.45,33.75
78.5,38.64
78.55,28.49
78.6,38.25
78.65,35.78
78.7,33.85
78.75,34.49
78.8,24.26
78.85,23.21
78.9,35.56
78.95,33.21
79.0,38.31
79.05,36.45
79.1,31.13
79.15,30.65
79.2,27.47
79.25,26.93
79.3,34.74
79.35,31.09
79.4,29.07
79.45,30.12
79.5,39.19
79.55,44.04
79.6,33.45
79.65,41.29
79.7,36.04
79.75,42.55
79.8,31.83
79.85,26.25
79.9,25.29
79.95,27.61
80.0,32.0
