position,amplitude
0.119,-0.5991
0.12,-0.81511
0.121,-0.96552
0.122,-0.99824
0.123,-0.93112
0.124,-0.74196
0.125,-0.48893
0.126,-0.17978
0.127,0.15984
0.128,0.46478
0.129,0.73587
0.13,0.90651
0.131,1.00439
0.132,0.97478
0.133,0.83641
0.134,0.6169
0.135,0.30818
0.136,-0.01915
0.137,-0.33778
0.138,-0.61904
0.139,-0.85218
0.14,-0.97616
0.141,-0.99361
0.142,-0.90086
0.143,-0.72641
0.144,-0.45037
0.145,-0.12347
0.146,0.20656
0.147,0.5004
0.148,0.77059
0.149,0.941
0.15,0.99463
0.151,0.94897
0.152,0.80098
0.153,0.57274
0.154,0.27813
0.155,-0.05473
0.156,-0.37476
0.157,-0.66674
0.158,-0.86361
0.159,-0.99012
0.16,-0.99155
0.161,-0.89035
0.162,-0.6826
0.163,-0.41764
0.164,-0.08626
0.165,0.24915
0.166,0.54549
0.167,0.78387
0.168,0.95474
0.169,0.99347
0.17,0.93719
0.171,0.78407
0.172,0.53024
0.173,0.23425
0.174,-0.10536
0.175,-0.42669
0.176,-0.70125
0.177,-0.88351
0.178,-0.98523
0.179,-0.97736
0.18,-0.85859
0.181,-0.65905
0.182,-0.36843
0.183,-0.03813
0.184,0.27619
0.185,0.57758
0.186,0.8151
0.187,0.95407
0.188,0.99071
0.189,0.93401
0.19,0.76099
0.191,0.49006
0.192,0.19436
0.193,-0.15047
0.194,-0.45795
0.195,-0.7291
0.196,-0.90442
0.197,-1.00114
0.198,-0.97414
0.199,-0.84313
0.2,-0.62802
0.201,-0.33358
0.202,-0.01082
0.203,0.32607
0.204,0.61687
0.205,0.8483
0.206,0.97138
0.207,1.00262
0.208,0.91939
0.209,0.72079
0.21,0.46126
0.211,0.14334
0.212,-0.18656
0.213,-0.49641
0.214,-0.74595
0.215,-0.92373
0.216,-1.00307
0.217,-0.96943
0.218,-0.8099
0.219,-0.58056
0.22,-0.28801
0.221,0.04409
0.222,0.3761
0.223,0.64181
0.224,0.86192
0.225,0.97223
0.226,0.98741
0.227,0.88269
0.228,0.68689
0.229,0.42191
0.23,0.10906
0.231,-0.23448
0.232,-0.54148
0.233,-0.77705
0.234,-0.93816
0.235,-1.00485
0.236,-0.9498
0.237,-0.78525
0.238,-0.54265
0.239,-0.24819
0.24,0.08101
0.241,0.4065
0.242,0.67852
0.243,0.88174
0.244,0.98449
0.245,0.97521
0.246,0.86774
0.247,0.66082
0.248,0.38998
0.249,0.06056
0.25,-0.28052
0.251,-0.57739
0.252,-0.79913
0.253,-0.95533
0.254,-0.99388
0.255,-0.92435
0.256,-0.76283
0.257,-0.5094
0.258,-0.21054
0.259,0.129
0.26,0.4376
0.261,0.71617
0.262,0.91049
0.263,1.00184
0.264,0.98165
0.265,0.85093
0.266,0.63225
0.267,0.33529
0.268,0.00989
0.269,-0.31422
0.27,-0.61098
0.271,-0.8279
0.272,-0.96603
0.273,-0.99203
0.274,-0.91939
0.275,-0.73664
0.276,-0.47889
0.277,-0.15929
0.278,0.1718
0.279,0.47664
0.28,0.74911
0.281,0.92907
0.282,0.99664
0.283,0.96646
0.284,0.82487
0.285,0.60223
0.286,0.29257
0.287,-0.03276
0.288,-0.35672
0.289,-0.63262
0.29,-0.85805
0.291,-0.98047
0.292,-0.98223
0.293,-0.89303
0.294,-0.71142
0.295,-0.44102
0.296,-0.11553
0.297,0.22702
0.298,0.52894
0.299,0.772
0.3,0.93701
0.301,1.00891
0.302,0.95132
0.303,0.79622
0.304,0.55996
0.305,0.24819
0.306,-0.06772
0.307,-0.39061
0.308,-0.67785
0.309,-0.8836
0.31,-0.99543
0.311,-0.99389
0.312,-0.87504
0.313,-0.67107
0.314,-0.39586
0.315,-0.06608
0.316,0.26326
0.317,0.55548
0.318,0.79186
0.319,0.95843
0.32,0.9933
0.321,0.94251
0.322,0.76247
0.323,0.52542
0.324,0.21281
0.325,-0.12673
0.326,-0.44036
0.327,-0.69878
0.328,-0.88993
0.329,-0.99276
0.33,-0.98027
0.331,-0.84889
0.332,-0.63853
0.333,-0.34957
0.334,-0.02696
0.335,0.29876
0.336,0.60488
0.337,0.82233
0.338,0.96658
0.339,0.98983
0.34,0.92259
0.341,0.73644
0.342,0.48832
0.343,0.1642
0.344,-0.16265
0.345,-0.46754
0.346,-0.73755
0.347,-0.92078
0.348,-0.99514
0.349,-0.96642
0.35,-0.82406
0.351,-0.61323
0.352,-0.31745
0.353,0.01555
0.354,0.34846
0.355,0.62934
0.356,0.8482
0.357,0.97868
0.358,0.99258
0.359,0.91122
0.36,0.70668
0.361,0.43726
0.362,0.12773
0.363,-0.21093
0.364,-0.5126
0.365,-0.76417
0.366,-0.93817
0.367,-1.00756
0.368,-0.95016
0.369,-0.80129
0.37,-0.57405
0.371,-0.26367
0.372,0.05393
0.373,0.38418
0.374,0.66592
0.375,0.8779
0.376,0.99129
0.377,0.97872
0.378,0.88398
0.379,0.68544
0.38,0.40016
0.381,0.0844
0.382,-0.25425
0.383,-0.54685
0.384,-0.7931
0.385,-0.94674
0.386,-0.99016
0.387,-0.94636
0.388,-0.77206
0.389,-0.5379
0.39,-0.22823
0.391,0.10412
0.392,0.42432
0.393,0.69136
0.394,0.88968
0.395,0.99906
0.396,0.97835
0.397,0.85793
0.398,0.64402
0.399,0.37141
0.4,0.03752
0.401,-0.30009
0.402,-0.58772
0.403,-0.81882
0.404,-0.9714
0.405,-0.99089
0.406,-0.92663
0.407,-0.76053
0.408,-0.48529
0.409,-0.18817
0.41,0.158
0.411,0.46598
0.412,0.72693
0.413,0.90244
0.414,1.00162
0.415,0.97608
0.416,0.84296
0.417,0.62075
0.418,0.32467
0.419,0.00319
0.42,-0.33238
0.421,-0.62522
0.422,-0.85027
0.423,-0.96553
0.424,-0.99041
0.425,-0.91249
0.426,-0.72445
0.427,-0.45428
0.428,-0.13221
0.429,0.18877
0.43,0.49423
0.431,0.75303
0.432,0.92317
0.433,0.99225
0.434,0.95541
0.435,0.8129
0.436,0.57825
0.437,0.28122
0.438,-0.04027
0.439,-0.3745
0.44,-0.65649
0.441,-0.85835
0.442,-0.97975
0.443,-0.98434
0.444,-0.88625
0.445,-0.68961
0.446,-0.4213
0.447,-0.10006
0.448,0.24068
0.449,0.53672
0.45,0.77741
0.451,0.94881
0.452,0.99207
0.453,0.94632
0.454,0.78815
0.455,0.53327
0.456,0.22799
0.457,-0.09725
0.458,-0.41896
0.459,-0.68202
0.46,-0.89124
0.461,-0.99516
0.462,-0.98198
0.463,-0.8592
0.464,-0.65958
0.465,-0.38344
0.466,-0.05523
0.467,0.28492
0.468,0.5728
0.469,0.82106
0.47,0.94892
0.471,0.99513
0.472,0.93153
0.473,0.76808
0.474,0.51223
0.475,0.19419
0.476,-0.13762
0.477,-0.45039
0.478,-0.72282
0.479,-0.90623
0.48,-0.99258
0.481,-0.97586
0.482,-0.84166
0.483,-0.62622
0.484,-0.32511
0.485,-0.01078
0.486,0.31578
0.487,0.61242
0.488,0.83741
0.489,0.97555
0.49,1.00576
0.491,0.92062
0.492,0.73939
0.493,0.46688
0.494,0.14564
0.495,-0.18997
0.496,-0.48888
0.497,-0.74044
0.498,-0.92568
0.499,-0.98835
0.5,-0.96632
0.501,-0.8229
0.502,-0.59692
0.503,-0.29573
0.504,0.04149
0.505,0.36883
0.506,0.64082
0.507,0.85308
0.508,0.98923
0.509,0.99337
0.51,0.89223
0.511,0.6973
0.512,0.42348
0.513,0.10542
0.514,-0.23061
0.515,-0.52876
0.516,-0.78001
0.517,-0.93319
0.518,-0.99068
0.519,-0.95119
0.52,-0.79783
0.521,-0.55843
0.522,-0.24126
0.523,0.07377
0.524,0.39512
0.525,0.67425
0.526,0.8828
0.527,0.98201
0.528,0.985
0.529,0.87617
0.53,0.66744
0.531,0.39034
0.532,0.07365
0.533,-0.26029
0.534,-0.56565
0.535,-0.79506
0.536,-0.95878
0.537,-0.99946
0.538,-0.93394
0.539,-0.76503
0.54,-0.51626
0.541,-0.19827
0.542,0.11954
0.543,0.43272
0.544,0.71911
0.545,0.9035
0.546,0.99765
0.547,0.96904
0.548,0.85481
0.549,0.64081
0.55,0.35115
0.551,0.01208
0.552,-0.30774
0.553,-0.61184
0.554,-0.83162
0.555,-0.96199
0.556,-1.00499
0.557,-0.92669
0.558,-0.73552
0.559,-0.47824
0.56,-0.15928
0.561,0.16037
0.562,0.48079
0.563,0.73736
0.564,0.91975
0.565,0.98958
0.566,0.95937
0.567,0.82167
0.568,0.59662
0.569,0.29598
0.57,-0.02521
0.571,-0.34426
0.572,-0.62799
0.573,-0.85038
0.574,-0.98063
0.575,-0.98478
0.576,-0.89209
0.577,-0.71167
0.578,-0.44406
0.579,-0.11569
0.58,0.21526
0.581,0.52167
0.582,0.76226
0.583,0.92678
0.584,0.99701
0.585,0.95408
0.586,0.79839
0.587,0.55468
0.588,0.25369
0.589,-0.07212
0.59,-0.38457
0.591,-0.67856
0.592,-0.88169
0.593,-0.98975
0.594,-0.98803
0.595,-0.87791
0.596,-0.67494
0.597,-0.40253
0.598,-0.07492
0.599,0.2635
0.6,0.56453
0.601,0.7953
0.602,0.9582
0.603,0.99494
0.604,0.93211
0.605,0.7798
0.606,0.51802
0.607,0.21617
0.608,-0.12178
0.609,-0.42408
0.61,-0.70957
0.611,-0.89427
0.612,-0.99659
0.613,-0.98425
0.614,-0.86167
0.615,-0.63478
0.616,-0.3482
0.617,-0.02508
0.618,0.29467
0.619,0.59016
0.62,0.81632
0.621,0.96058
0.622,0.99147
0.623,0.91794
0.624,0.74329
0.625,0.49028
0.626,0.1756
0.627,-0.1592
0.628,-0.47259
0.629,-0.73547
0.63,-0.92474
0.631,-0.9962
0.632,-0.9745
0.633,-0.83503
0.634,-0.61322
0.635,-0.30771
0.636,0.00482
0.637,0.33806
0.638,0.62318
0.639,0.854
0.64,0.9674
0.641,0.99205
0.642,0.9099
0.643,0.70979
0.644,0.45097
0.645,0.14153
0.646,-0.19598
0.647,-0.51686
0.648,-0.76354
0.649,-0.92233
0.65,-0.9965
0.651,-0.96558
0.652,-0.8069
0.653,-0.57733
0.654,-0.28208
0.655,0.05771
0.656,0.37856
0.657,0.6557
0.658,0.87484
0.659,0.99298
0.66,0.98421
0.661,0.88733
0.662,0.68439
0.663,0.4029
0.664,0.09805
0.665,-0.23664
0.666,-0.53705
0.667,-0.79748
0.668,-0.94951
0.669,-0.99999
0.67,-0.93443
0.671,-0.78388
0.672,-0.53744
0.673,-0.2227
0.674,0.1053
0.675,0.42827
0.676,0.6887
0.677,0.88415
0.678,0.99273
0.679,0.98438
0.68,0.85629
0.681,0.65417
0.682,0.37887
0.683,0.05193
0.684,-0.27585
0.685,-0.58472
0.686,-0.80748
0.687,-0.95397
0.688,-1.00272
0.689,-0.91966
0.69,-0.7472
0.691,-0.50156
0.692,-0.19344
0.693,0.14874
0.694,0.46232
0.695,0.72204
0.696,0.9177
0.697,0.99833
0.698,0.97768
0.699,0.84909
0.7,0.61017
0.701,0.32175
0.702,0.00715
0.703,-0.32947
0.704,-0.61154
0.705,-0.84417
0.706,-0.9642
0.707,-0.99993
0.708,-0.91066
0.709,-0.72964
0.71,-0.46242
0.711,-0.14109
0.712,0.17701
0.713,0.49049
0.714,0.76027
0.715,0.93644
0.716,1.00206
0.717,0.95665
0.718,0.81418
0.719,0.59071
0.72,0.28834
0.721,-0.039
0.722,-0.37393
0.723,-0.65455
0.724,-0.86231
0.725,-0.99052
0.726,-0.99466
0.727,-0.88405
0.728,-0.69432
0.729,-0.42896
0.73,-0.10141
0.731,0.22866
0.732,0.5349
0.733,0.77499
0.734,0.94389
0.735,0.99189
0.736,0.95712
0.737,0.79599
0.738,0.55385
0.739,0.23829
0.74,-0.07835
0.741,-0.40897
0.742,-0.67567
0.743,-0.87895
0.744,-0.99167
0.745,-0.99143
0.746,-0.87518
0.747,-0.65575
0.748,-0.38283
0.749,-0.06507
0.75,0.27849
0.751,0.57022
0.752,0.81087
0.753,0.94768
0.754,1.00834
0.755,0.92728
0.756,0.75652
0.757,0.50435
0.758,0.20642
0.759,-0.12197
0.76,-0.45535
0.761,-0.71097
0.762,-0.90087
0.763,-0.98482
0.764,-0.96736
0.765,-0.84991
0.766,-0.63484
0.767,-0.3427
0.768,-0.01055
0.769,0.32076
0.77,0.61014
0.771,0.83361
0.772,0.97463
0.773,1.00117
0.774,0.91227
0.775,0.72712
0.776,0.47559
0.777,0.16259
0.778,-0.17422
0.779,-0.48548
0.78,-0.74981
0.781,-0.93109
0.782,-1.00325
0.783,-0.96424
0.784,-0.82361
0.785,-0.5959
0.786,-0.30274
0.787,0.03664
0.788,0.34797
0.789,0.64172
0.79,0.86202
0.791,0.98748
0.792,0.9974
0.793,0.89962
0.794,0.71212
0.795,0.43636
0.796,0.11146
0.797,-0.20754
0.798,-0.52727
0.799,-0.7729
0.8,-0.93614
0.801,-1.00262
0.802,-0.94358
0.803,-0.78874
0.804,-0.55239
0.805,-0.2533
0.806,0.0668
0.807,0.3933
0.808,0.67908
0.809,0.88278
0.81,0.98567
0.811,0.97782
0.812,0.86754
0.813,0.66429
0.814,0.38748
0.815,0.06347
0.816,-0.25211
0.817,-0.55239
0.818,-0.80496
0.819,-0.95989
0.82,-1.00767
0.821,-0.94135
0.822,-0.77023
0.823,-0.51445
0.824,-0.21785
0.825,0.12341
0.826,0.43593
0.827,0.7147
0.828,0.9062
0.829,0.98401
0.83,0.96902
0.831,0.84588
0.832,0.64518
0.833,0.35958
0.834,0.01623
0.835,-0.29458
0.836,-0.60463
0.837,-0.82388
0.838,-0.97489
0.839,-0.99203
0.84,-0.92264
0.841,-0.74004
0.842,-0.47692
0.843,-0.16591
0.844,0.16952
0.845,0.46683
0.846,0.73189
0.847,0.92101
0.848,0.98817
0.849,0.97674
0.85,0.83071
0.851,0.60825
0.852,0.30321
0.853,-0.01519
0.854,-0.33638
0.855,-0.63149
0.856,-0.85174
0.857,-0.97488
0.858,-0.9963
0.859,-0.89512
0.86,-0.70885
0.861,-0.44158
0.862,-0.12261
0.863,0.19827
0.864,0.51416
0.865,0.76195
0.866,0.92992
0.867,0.9901
0.868,0.9515
0.869,0.81029
0.87,0.57642
0.871,0.27392
0.872,-0.06438
0.873,-0.37719
0.874,-0.67097
0.875,-0.8646
0.876,-0.98947
0.877,-0.98189
0.878,-0.87734
0.879,-0.67842
0.88,-0.39453
0.881,-0.08595
0.882,0.24227
0.883,0.55855
0.884,0.78359
0.885,0.95286
0.886,1.00831
0.887,0.93902
0.888,0.78876
0.889,0.5255
0.89,0.22851
0.891,-0.09801
0.892,-0.41983
0.893,-0.70718
0.894,-0.89666
0.895,-0.98549
0.896,-0.97603
0.897,-0.85325
0.898,-0.64102
0.899,-0.36997
0.9,-0.03366
0.901,0.287
0.902,0.58252
0.903,0.80977
0.904,0.95615
0.905,0.99858
0.906,0.92832
0.907,0.75604
0.908,0.48617
0.909,0.17444
0.91,-0.14858
0.911,-0.46188
0.912,-0.71838
0.913,-0.91851
0.914,-1.00072
0.915,-0.9692
0.916,-0.83269
0.917,-0.61554
0.918,-0.31191
0.919,-0.00328
0.92,0.32489
0.921,0.61411
0.922,0.85353
0.923,0.97717
0.924,0.99771
0.925,0.91685
0.926,0.72917
0.927,0.44642
0.928,0.13738
0.929,-0.18607
0.93,-0.51211
0.931,-0.75481
0.932,-0.92544
0.933,-1.00731
0.934,-0.96223
0.935,-0.80375
0.936,-0.57939
0.937,-0.28187
0.938,0.05907
0.939,0.3827
0.94,0.65084
0.941,0.86639
0.942,0.97983
0.943,0.99148
0.944,0.89277
0.945,0.68975
0.946,0.4242
0.947,0.08686
0.948,-0.24467
0.949,-0.54192
0.95,-0.7836
0.951,-0.9403
0.952,-0.99099
0.953,-0.95
0.954,-0.78829
0.955,-0.55101
0.956,-0.23998
0.957,0.09183
0.958,0.42283
0.959,0.68215
0.96,0.89025
0.961,0.98577
0.962,0.98728
0.963,0.87713
0.964,0.65375
0.965,0.37333
0.966,0.05053
0.967,-0.27597
0.968,-0.58429
0.969,-0.8036
0.97,-0.95661
0.971,-0.99437
0.972,-0.93801
0.973,-0.76285
0.974,-0.49474
0.975,-0.19468
0.976,0.13605
0.977,0.45368
0.978,0.71251
0.979,0.91256
0.98,0.98497
0.981,0.96504
0.982,0.83808
0.983,0.62895
0.984,0.33334
0.985,-0.00214
0.986,-0.32892
0.987,-0.60255
0.988,-0.83133
0.989,-0.97879
0.99,-0.99895
0.991,-0.91841
0.992,-0.73757
0.993,-0.46296
0.994,-0.15069
0.995,0.18677
0.996,0.48509
0.997,0.75852
0.998,0.91475
0.999,0.99717
1.0,0.95283
1.001,0.8183
1.002,0.59056
1.003,0.29357
1.004,-0.03107
1.005,-0.35619
1.006,-0.6366
1.007,-0.86917
1.008,-0.98581
1.009,-0.99962
1.01,-0.89003
1.011,-0.70437
1.012,-0.42837
1.013,-0.11471
1.014,0.23053
1.015,0.53499
1.016,0.77839
1.017,0.93947
1.018,0.9932
1.019,0.95762
1.02,0.79933
1.021,0.55896
1.022,0.24456
1.023,-0.07279
1.024,-0.41023
1.025,-0.67767
1.026,-0.87795
1.027,-0.98709
1.028,-0.97717
1.029,-0.86811
1.03,-0.67248
1.031,-0.39424
1.032,-0.06288
1.033,0.25793
1.034,0.5705
1.035,0.80336
1.036,0.94896
1.037,1.0054
1.038,0.93847
1.039,0.77185
1.04,0.50573
1.041,0.19936
1.042,-0.12386
1.043,-0.43678
1.044,-0.71449
1.045,-0.89767
1.046,-1.00134
1.047,-0.97126
1.048,-0.84597
1.049,-0.63891
1.05,-0.35208
1.051,-0.02318
1.052,0.31245
1.053,0.6031
1.054,0.83246
1.055,0.97424
1.056,0.99043
1.057,0.91175
1.058,0.73092
1.059,0.46822
1.06,0.16322
1.061,-0.17194
1.062,-0.48631
1.063,-0.74663
1.064,-0.92032
1.065,-1.00193
1.066,-0.95986
1.067,-0.82145
1.068,-0.59989
1.069,-0.29675
1.07,0.03268
1.071,0.34287
1.072,0.62965
1.073,0.86022
1.074,0.98577
1.075,0.99859
1.076,0.90085
1.077,0.70904
1.078,0.43693
1.079,0.11105
1.08,-0.20175
1.081,-0.52675
1.082,-0.76728
1.083,-0.93551
1.084,-0.99674
1.085,-0.96244
1.086,-0.79642
1.087,-0.57053
1.088,-0.25357
1.089,0.06223
1.09,0.39196
1.091,0.66603
1.092,0.86648
1.093,0.99139
1.094,0.99195
1.095,0.87189
1.096,0.68185
1.097,0.39823
1.098,0.07687
1.099,-0.25793
1.1,-0.54792
1.101,-0.79172
1.102,-0.9562
1.103,-1.00379
1.104,-0.93051
1.105,-0.77877
1.106,-0.53221
1.107,-0.22316
1.108,0.11405
1.109,0.42264
1.11,0.70866
1.111,0.89798
1.112,0.98209
1.113,0.96988
1.114,0.85398
1.115,0.63333
1.116,0.34912
1.117,0.03213
1.118,-0.29928
1.119,-0.58536
1.12,-0.83291
1.121,-0.97205
1.122,-0.99466
1.123,-0.92359
1.124,-0.74721
1.125,-0.4892
1.126,-0.17907
1.127,0.16289
1.128,0.47473
1.129,0.72492
1.13,0.9104
1.131,0.99831
1.132,0.97638
1.133,0.83699
1.134,0.60034
1.135,0.31216
1.136,-0.01939
1.137,-0.33183
1.138,-0.6265
1.139,-0.84461
1.14,-0.97227
1.141,-0.99738
1.142,-0.91174
1.143,-0.72187
1.144,-0.452
1.145,-0.13895
1.146,0.19913
1.147,0.51616
1.148,0.77007
1.149,0.93152
1.15,0.99649
1.151,0.96362
1.152,0.81893
1.153,0.57826
1.154,0.27079
1.155,-0.04766
1.156,-0.37284
1.157,-0.65437
1.158,-0.86807
1.159,-0.99091
1.16,-0.99829
1.161,-0.8773
1.162,-0.68207
1.163,-0.4066
1.164,-0.08183
1.165,0.24704
1.166,0.54247
1.167,0.7893
1.168,0.94556
1.169,0.99529
1.17,0.95187
1.171,0.78692
1.172,0.54318
1.173,0.22678
1.174,-0.10453
1.175,-0.41136
1.176,-0.70297
1.177,-0.89568
1.178,-0.99957
1.179,-0.97288
1.18,-0.86821
1.181,-0.65769
1.182,-0.37418
1.183,-0.05251
1.184,0.28201
1.185,0.59042
1.186,0.82529
1.187,0.95941
1.188,0.99382
1.189,0.92924
1.19,0.74641
1.191,0.49969
1.192,0.1945
1.193,-0.153
1.194,-0.46151
1.195,-0.71769
1.196,-0.90972
1.197,-0.99285
1.198,-0.97067
1.199,-0.83749
1.2,-0.61189
1.201,-0.33734
1.202,-0.00594
1.203,0.33309
1.204,0.61534
1.205,0.83812
1.206,0.97905
1.207,1.00306
1.208,0.91241
1.209,0.71657
1.21,0.45184
1.211,0.13772
1.212,-0.18621
1.213,-0.49407
1.214,-0.75157
1.215,-0.93498
1.216,-0.98891
1.217,-0.95827
1.218,-0.81507
1.219,-0.59228
1.22,-0.28492
1.221,0.04811
1.222,0.36783
1.223,0.6494
1.224,0.86307
1.225,0.98424
1.226,0.99318
1.227,0.89683
1.228,0.68853
1.229,0.42522
1.23,0.11002
1.231,-0.23002
1.232,-0.54112
1.233,-0.7795
1.234,-0.93437
1.235,-1.0079
1.236,-0.95714
1.237,-0.78679
1.238,-0.5534
1.239,-0.25006
1.24,0.07953
1.241,0.41731
1.242,0.67677
1.243,0.88103
1.244,0.97925
1.245,0.97538
1.246,0.86692
1.247,0.66245
1.248,0.38735
1.249,0.05283
1.25,-0.26578
1.251,-0.57852
1.252,-0.81715
1.253,-0.95347
1.254,-0.99922
1.255,-0.93177
1.256,-0.7688
1.257,-0.51463
1.258,-0.19368
1.259,0.13644
1.26,0.44796
1.261,0.71175
1.262,0.91275
1.263,0.9923
1.264,0.96838
1.265,0.84627
1.266,0.62205
1.267,0.33802
1.268,0.01952
1.269,-0.3139
1.27,-0.61456
1.271,-0.83043
1.272,-0.97595
1.273,-0.99588
1.274,-0.91955
1.275,-0.73056
1.276,-0.46472
1.277,-0.16088
1.278,0.16838
1.279,0.49575
1.28,0.75327
1.281,0.9201
1.282,1.00615
1.283,0.96328
1.284,0.82891
1.285,0.59459
1.286,0.30766
1.287,-0.03713
1.288,-0.35629
1.289,-0.64464
1.29,-0.86488
1.291,-0.96947
1.292,-0.99375
1.293,-0.9031
1.294,-0.70261
1.295,-0.43487
1.296,-0.1133
1.297,0.22687
1.298,0.52505
1.299,0.77993
1.3,0.94637
1.301,0.99078
1.302,0.95761
1.303,0.80632
1.304,0.56713
1.305,0.26347
1.306,-0.07819
1.307,-0.40218
1.308,-0.68371
1.309,-0.87183
1.31,-0.981
1.311,-0.9841
1.312,-0.86679
1.313,-0.66617
1.314,-0.39854
1.315,-0.06221
1.316,0.26045
1.317,0.56275
1.318,0.80308
1.319,0.94278
1.32,0.99543
1.321,0.93979
1.322,0.77273
1.323,0.52952
1.324,0.22162
1.325,-0.12396
1.326,-0.4341
1.327,-0.71082
1.328,-0.89869
1.329,-1.00198
1.33,-0.97642
1.331,-0.85734
1.332,-0.63506
1.333,-0.35648
1.334,-0.02871
1.335,0.29276
1.336,0.60689
1.337,0.82207
1.338,0.96226
1.339,0.98893
1.34,0.91675
1.341,0.7513
1.342,0.48751
1.343,0.17379
1.344,-0.15707
1.345,-0.46574
1.346,-0.74499
1.347,-0.92268
1.348,-1.0026
1.349,-0.97285
1.35,-0.83653
1.351,-0.60835
1.352,-0.30307
1.353,0.01786
1.354,0.3501
1.355,0.64002
1.356,0.8456
1.357,0.96893
1.358,0.9869
1.359,0.89623
1.36,0.72016
1.361,0.45192
1.362,0.11772
1.363,-0.20447
1.364,-0.50481
1.365,-0.7706
1.366,-0.92855
1.367,-1.00379
1.368,-0.95261
1.369,-0.79689
1.37,-0.56179
1.371,-0.27749
1.372,0.06272
1.373,0.39139
1.374,0.66315
1.375,0.88096
1.376,0.9872
1.377,0.99173
1.378,0.88213
1.379,0.68004
1.38,0.4083
1.381,0.09029
1.382,-0.24419
1.383,-0.54994
1.384,-0.79375
1.385,-0.94162
1.386,-0.99525
1.387,-0.94553
1.388,-0.78226
1.389,-0.52688
1.39,-0.23256
1.391,0.10407
1.392,0.42346
1.393,0.70151
1.394,0.89737
1.395,0.98136
1.396,0.97268
1.397,0.85561
1.398,0.65671
1.399,0.35345
1.4,0.04372
1.401,-0.28462
1.402,-0.5857
1.403,-0.81395
1.404,-0.95436
1.405,-0.9988
1.406,-0.93464
1.407,-0.75095
1.408,-0.50123
1.409,-0.17612
1.41,0.15891
1.411,0.46668
1.412,0.72883
1.413,0.91199
1.414,0.98856
1.415,0.97232
1.416,0.84055
1.417,0.61671
1.418,0.32688
1.419,-0.00406
1.42,-0.32317
1.421,-0.62062
1.422,-0.85238
1.423,-0.96299
1.424,-0.99229
1.425,-0.91268
1.426,-0.7137
1.427,-0.44905
1.428,-0.13795
1.429,0.188
1.43,0.50068
1.431,0.75468
1.432,0.92878
1.433,0.99524
1.434,0.96096
1.435,0.80575
1.436,0.58092
1.437,0.28691
1.438,-0.0396
1.439,-0.37106
1.44,-0.65014
1.441,-0.87442
1.442,-0.98262
1.443,-0.98015
1.444,-0.89325
1.445,-0.68252
1.446,-0.41166
1.447,-0.09247
1.448,0.24442
1.449,0.54871
1.45,0.79212
1.451,0.95028
1.452,0.99898
1.453,0.95012
1.454,0.78932
1.455,0.54132
1.456,0.24658
1.457,-0.08688
1.458,-0.42095
1.459,-0.68906
1.46,-0.88787
1.461,-0.99346
1.462,-0.97917
1.463,-0.86053
1.464,-0.65807
1.465,-0.37298
1.466,-0.04771
1.467,0.2847
1.468,0.57816
1.469,0.81169
1.47,0.95615
1.471,1.00437
1.472,0.9293
